frame_idx,has_face,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1,1,2.4424263756372966e-05,0.002920569619163871,2.2650856408290565e-05,0.9930960536003113,0.00040996260941028595,0.00038732646498829126,0.0031390090007334948
2,1,2.1245297830319032e-05,0.0022773239761590958,1.8806727894116193e-05,0.9933585524559021,0.0005519900587387383,0.0003570047556422651,0.0034151440486311913
3,1,0.00014543713768944144,0.0015210333513095975,1.586591861268971e-05,0.9926023483276367,0.00039377741632051766,0.00025292253121733665,0.005068609025329351
4,1,0.0003824416780844331,0.0011463992996141315,2.236689761048183e-05,0.9924407601356506,0.0003320413234177977,0.0002138748241122812,0.005462108179926872
5,1,0.000420943193603307,0.003164248540997505,2.032620250247419e-05,0.9702811241149902,0.0003580783377401531,0.0004716498660854995,0.025283653289079666
6,1,0.0004289895005058497,0.0045036617666482925,2.3986076485016383e-05,0.9552157521247864,0.00033231472480110824,0.0006899770232848823,0.03880536928772926
7,1,0.0003968948149122298,0.004346083849668503,2.2286172679741867e-05,0.9586386680603027,0.0003608388069551438,0.0006009645876474679,0.035634301602840424
8,1,0.0004021834465675056,0.00418653292581439,1.9353577954461798e-05,0.9548793435096741,0.00032508891308680177,0.0005722893984057009,0.039615221321582794
9,1,0.00040945751243270934,0.004449224099516869,1.7227477655978873e-05,0.9527668356895447,0.00023585479357279837,0.0006820830749347806,0.041439350694417953
10,1,0.00036290939897298813,0.004644456785172224,1.629085818422027e-05,0.9532280564308167,0.00024233544536400586,0.000706401071511209,0.040799546986818314
11,1,0.00024026415485423058,0.0047087157145142555,2.0429404685273767e-05,0.9539309740066528,0.00027251202845945954,0.0007423797505907714,0.04008474946022034
12,1,0.00015899659774731845,0.003128092736005783,1.8757840734906495e-05,0.9705778956413269,0.00020977796521037817,0.0005476069054566324,0.025358812883496284
13,1,9.229726128978655e-05,0.0015665501123294234,1.2784558748535346e-05,0.9875285029411316,0.0001860030461102724,0.00030486559262499213,0.010308987461030483
14,1,6.328102608677e-05,0.001148029463365674,1.1242008440603968e-05,0.988440990447998,0.00013046692765783519,0.00031969419796951115,0.009886343963444233
15,1,5.5437867558794096e-05,0.0011003323597833514,1.1627510502876248e-05,0.9891996383666992,0.00012162171333329752,0.0008569794590584934,0.008654385805130005
16,1,4.8010620957938954e-05,0.0007527912384830415,1.2766669897246175e-05,0.983243465423584,0.00013547851995099336,0.0032681599259376526,0.012539340183138847
17,1,4.368372174212709e-05,0.000557362218387425,1.3332411072042305e-05,0.8833693861961365,0.00014017029025126249,0.10241971164941788,0.013456367887556553
18,1,1.4824936442892067e-05,0.0004912749864161015,4.328867817093851e-06,0.7742906212806702,0.0001166976653621532,0.21003837883472443,0.015043839812278748
