start,end,duration,dominant,top1,top1_prob,top2,top2_prob,top3,top3_prob,text
0.0,1.5,1.5,27,27,0.3349,0,0.1108,15,0.0623,i'm proud to declare
2.0,2.0,0.0,18,18,0.5355,27,0.1209,0,0.0872,ii l love mathematics
2.5,2.5,0.0,18,18,0.5355,27,0.1209,0,0.0872,iy 0  l love mathematics!  mae
3.0,3.0,0.0,18,18,0.25,27,0.1284,0,0.0767,my i   l love mathematics!  l an
3.5,4.0,0.5,18,18,0.5355,27,0.1209,0,0.0872,l love mathematics!  r ff
4.5,4.5,0.0,27,27,0.2954,0,0.0753,3,0.0745,a   jum   a   applause    me 7 2.   bh ses a nthe   nes? y a
5.0,5.0,0.0,27,27,0.4052,0,0.1131,3,0.0864,"se     fa i '4 eee l re,  cheers   applause  he"
5.5,5.5,0.0,27,27,0.3486,0,0.1049,3,0.0579,a   applause
